Q,I
1.12787,0.5854174446638273
1.13288,0.593166291103508
1.13788,0.5968723545581608
1.14288,0.6069085610163999
1.14788,0.6106048022058091
1.15288,0.6210952884315557
1.15788,0.6351199484701955
1.16288,0.6456779627694904
1.16789,0.6586583932344405
1.17289,0.6760950626620085
1.17789,0.6992952531669338
1.18289,0.728463083698806
1.18789,0.7552118744687006
1.1929,0.7905658904291857
1.1979,0.8237359871019571
1.2029,0.8689128821974259
1.2079,0.9210488522178479
1.2129,0.9568599104579402
1.2179,1.0003694760283408
1.2229,1.0517601816734194
1.22791,1.101382879574685
1.23291,1.1487780718862195
1.23791,1.1941329955392248
1.24291,1.2393230893036147
1.24791,1.2698559077585316
1.25292,1.28646566523092
1.25792,1.3016993847318652
1.26292,1.2945742521351407
1.26792,1.271452025860585
1.27292,1.2370516904660769
1.27792,1.1927216588020628
1.28293,1.1476752156668582
1.28793,1.1130041540865787
1.29293,1.070501677649416
1.29793,1.0319867339552873
1.30293,0.9948082322258398
1.30793,0.9656450058808005
1.31294,0.9347110092798482
1.31794,0.9082335585873026
1.32294,0.8834387847092682
1.32794,0.8642687924120279
1.33294,0.8445183656280602
1.33794,0.8336497221904424
1.34295,0.8219771877318095
1.34795,0.8067084764109348
1.35295,0.7942722608296271
1.35795,0.786154158605952
1.36295,0.7782506114886875
1.36795,0.7689308165016393
1.37295,0.7602709549606325
1.37796,0.7514916915077606
1.38296,0.7418465339845246
1.38796,0.73614133260705
1.39296,0.7282911940570463
1.39796,0.7147616375758321
1.40297,0.7127723219182536
1.40797,0.7083912846739056
1.41297,0.7002928269807172
1.41797,0.6983544643240888
1.42297,0.6952503215613836
1.42797,0.6887777557117678
1.43298,0.6843549738401352
1.43798,0.6765653036105365
1.44298,0.6650892144567718
1.44798,0.6575945191302641
1.45298,0.6522100761021444
1.45798,0.6464941316220597
1.46299,0.638834606406936
1.46799,0.6351257804401838
1.47299,0.6334952844097783
1.47799,0.6320732045700064
1.48299,0.6277228619045441
1.48799,0.6280546703022979
